pha_code,pha_name,ed_rate_per_100k,poor_health_pct,population,area_type
20164,Melton/ Melton South/ Rockbank - Mount Cottrell,24802.020782810847,21.863666976349506,75229.0,Metro Melbourne
20256,Merbein,40559.62109841477,17.813685206595206,4954.0,Metro Melbourne
20257,Mildura,48786.88048436261,18.64536973082308,34499.0,Metro Melbourne
20072,Mill Park - North,48440.23038516507,14.504766318030628,17640.0,Metro Melbourne
20073,Mill Park - South,136.206700685188,15.261419735024113,11339.0,Metro Melbourne
20105,Mitcham (Vic.)/ Vermont/ Vermont South,17498.002331032385,12.428597532195697,40051.0,Metro Melbourne
20245,Moe - Newborough/ Morwell,46323.54767202812,19.460424715069784,31672.0,Metro Melbourne
20265,Moira/ Yarrawonga,22976.98896971151,14.789688358198344,11425.0,Metro Melbourne
20112,Monbulk - Silvan/ Mount Evelyn,26217.421025875647,14.260396507810754,15725.0,Metro Melbourne
20180,Mornington/ Somerville,22975.511579233444,12.977496236604335,44603.0,Metro Melbourne
20237,Mount Baw Baw Region/ Trafalgar (Vic.)/ Warragul,32216.12833312489,15.192586702951694,37961.0,Metro Melbourne
20181,Mount Eliza,14703.339697938176,8.729388913527881,18924.0,Metro Melbourne
20141,Mount Waverley - North/ Mount Waverley - South,15782.865936026723,9.887170060183632,35709.0,Metro Melbourne
20274,Moyne – East/ Moyne – West,30077.30160667415,15.655277518649577,16957.0,Metro Melbourne
20048,Murrumbeena,17940.16626269479,11.749026212656469,9467.0,Metro Melbourne
20233,Myrtleford,26842.48407205396,14.863977957468006,4717.0,Metro Melbourne
20123,Narre Warren,28562.665201288386,17.710453753927347,28517.0,Metro Melbourne
20129,Narre Warren South,23190.319051030467,17.93525469154557,30200.0,Metro Melbourne
20216,Newcomb - Moolap,31811.873472770654,17.238916052723546,15410.0,Metro Melbourne
20154,Newport/ Williamstown,34716.79147063627,10.459127411338338,35058.0,Metro Melbourne
20254,Nhill Region/ West Wimmera/ Yarriambiack,27922.38553433031,14.479726167109767,16109.0,Metro Melbourne
20078,Niddrie - Essendon West,20573.134448181616,12.254299078132341,7520.0,Metro Melbourne
20135,Noble Park,24115.034077273973,20.109721413490767,32699.0,Metro Melbourne
20217,North Geelong - Bell Park,25153.90390115506,14.869280426466437,15741.0,Metro Melbourne
20013,North Melbourne/ West Melbourne - Residential,26811.97521329969,14.325032355820563,23559.0,Metro Melbourne
20106,Nunawading,19645.81175457438,11.841035580484142,12518.0,Metro Melbourne
20085,Oak Park/ Pascoe Vale,25311.08534827989,16.717445598952562,25380.0,Metro Melbourne
20220,Ocean Grove/ Barwon Heads - Armstrong Creek,17519.56268596232,12.660036919604632,36178.0,Metro Melbourne
20117,Pakenham,26382.812558607562,20.34629615400596,56853.0,Metro Melbourne
20014,Parkville,22624.927986245373,8.350221327949251,7428.0,Metro Melbourne
20242,Phillip Island,24022.192604491385,14.613471756580873,13736.0,Metro Melbourne
20067,Plenty - Yarrambat/ Wattle Glen - Diamond Creek,18068.56967062254,12.133260254994052,24059.0,Metro Melbourne
20168,Point Cook,21760.129271570782,15.72103013342929,62990.0,Metro Melbourne
20182,Point Nepean,28188.78969764073,13.101087352721715,20000.0,Metro Melbourne
20017,Port Melbourne/ Port Melbourne Industrial,24050.45582050124,11.237787413391647,18310.0,Metro Melbourne
20221,Portarlington,20576.54019239622,12.654601309711135,9460.0,Metro Melbourne
20021,Prahran - Windsor/ South Yarra,23396.267811200156,9.745772083309559,40990.0,Metro Melbourne
20061,Preston,27933.47408863154,13.831444259742213,33821.0,Metro Melbourne
20258,Red Cliffs,42608.371636893586,17.98591558978121,6123.0,Metro Melbourne
20062,Reservoir - East,56719.42694776496,13.753132962537899,27926.0,Metro Melbourne
