pha_code,pha_name,poor_health_pct,ed_asr_per_100k
20130,Clarinda - Oakleigh South/ Clayton South,12.641255619853649,18663.103804283244
20131,Dandenong,18.747681982255344,39108.75669223471
20132,Dandenong North/ Noble Park North,16.4414345018636,24625.78007679801
20133,Dingley Village,12.19332885468611,21149.199602513203
20134,Keysborough,14.143123706225312,19064.482265342074
20135,Noble Park,20.109721413490767,24856.90298330831
20136,Springvale/ Springvale South,13.489392763718568,19543.637097749524
20137,Ashwood - Chadstone/ Oakleigh - Huntingdale,12.43971839553546,22666.599834881974
20138,Clayton,11.717980586058191,17961.570446753998
20139,Glen Waverley - East/ Wheelers Hill,10.434600460651307,22004.724392781984
20140,Glen Waverley - West/ Mulgrave,11.410836201872826,10078.302713184337
20141,Mount Waverley - North/ Mount Waverley - South,9.887170060183632,15830.073890563006
20142,Ardeer - Albion/ Sunshine/ Sunshine West,15.357728537627974,27433.201379497597
20143,Cairnlea,15.047675032562644,22244.37394574349
20144,Deer Park/ Derrimut,17.8747933145635,24894.74966483758
20145,Delahey,16.694283143111736,31400.964334075285
20146,Keilor Downs,14.925318982018076,27221.67519855227
20147,St Albans – North/ Kings Park (Vic.),17.99899665774082,42893.32847695184
20148,St Albans - South/ Sunshine North,15.91756016554472,10925.331560970966
20149,Sydenham,16.794328310709126,24391.691231586177
20150,Taylors Lakes,12.111700948226323,22891.108318025403
20151,Altona,11.62567826661084,30134.01384176464
20152,Altona Meadows,14.632395555873767,30756.336199696063
20153,Altona North,13.996444649758239,37473.375257071864
20154,Newport/ Williamstown,10.459127411338338,33394.458300888364
20155,Seabrook,19.67957273375075,23476.77549766788
20156,Braybrook,14.43880987292,26427.958756126827
20157,Footscray/ West Footscray - Tottenham,13.042530290878895,27376.157045299202
20158,Maribyrnong,12.017250584776496,19732.448346679128
20159,Seddon - Kingsville/ Yarraville,12.328798614709351,26410.772124203715
20160,Bacchus Marsh,15.70887505096905,19464.371862109176
20161,Caroline Springs,15.794800261767678,25473.915367425576
20162,Hillside/ Taylors Hill,18.23065184412259,21840.847046165873
20163,Melton West,22.848931712578246,24472.05327564139
20164,Melton/ Melton South/ Rockbank - Mount Cottrell,21.863666976349506,24025.21246799887
20165,Hoppers Crossing - North/ Truganina,18.725153289539385,13663.518551678995
20166,Hoppers Crossing - South/ Werribee - South,16.27660728429866,28755.325421402464
20167,Laverton,14.934073084259682,28748.072426765535
20168,Point Cook,15.72103013342929,21280.99016061115
20169,Tarneit,21.50980278383989,19937.038949737867
20170,Werribee,19.127045847693193,32524.833945186383
20171,Wyndham Vale,23.58533628356053,23176.622799214132
20172,Carrum Downs/ Seaford (Vic.),17.370880610526918,30251.650041912188
20173,Frankston,17.039872855491065,57336.378443472204
20174,Frankston North,20.504572613290772,12013.653204373897
20175,Frankston South,12.682295831405284,21434.815159587317
20176,Langwarrin/ Skye - Sandhurst,15.040108475082967,22275.833147886126
20177,Dromana,13.672612018338583,28437.16363053217
20178,Flinders/ Mount Martha,9.44780976125352,18763.694423023735
20179,Hastings - Somers,15.679188533348988,23676.8389694541
20180,Mornington/ Somerville,12.977496236604335,23091.66742648285
20181,Mount Eliza,8.729388913527881,15625.40450678568
20182,Point Nepean,13.101087352721715,28715.524469927936
20183,Rosebud - McCrae,14.914972310790585,41982.46653860958
20184,Alfredton/ Buninyong/ Smythes Creek,15.999233978675983,28620.689082521625
20185,Ballarat,13.220728573793442,14831.266590653915
20186,Ballarat East/ Ballarat North,15.194671758566965,22718.2417882675
20187,Ballarat - South/ Delacombe,19.95134360866152,31205.55504598442
20188,Wendouree - Miners Rest,19.62094829965801,32957.906387297684
20189,Bacchus Marsh Region/ Gordon (Vic.),14.440897767531014,21835.142363455518
20190,Creswick - Clunes,14.890853081223716,24621.84384378617
20191,Daylesford,13.513000886492247,15368.523802060681
20192,Avoca/ Beaufort/ Maryborough Region,15.718228941889306,19295.70724464682
20193,Golden Plains - North,16.071229446956426,26778.265013044245
20194,Maryborough (Vic.),17.77281162132996,14487.083341131645
20195,Bendigo,18.612974006621638,56209.41650200068
20196,California Gully - Eaglehawk,21.507067295958496,43066.829248156835
20197,Bendigo - Central East,17.051080963504425,32412.97360864498
20198,Kangaroo Flat - Golden Square,17.733149952415484,39726.79526908408
20199,Maiden Gully,14.64785783009374,30766.797810715638
20200,Strathfieldsaye,13.668612762505873,27670.081788623487
20201,Bendigo Region - South,13.96766865887828,29119.121306210644
20201,Bendigo Region - South,13.96766865887828,38011.85804335489
20201,Bendigo,17.52184283231161,29119.121306210644
20201,Bendigo,17.52184283231161,38011.85804335489
20202,Castlemaine/ Castlemaine Region,14.597324150188566,15765.247331182638
20202,Castlemaine/ Castlemaine Region,14.597324150188566,19215.725305662138
20202,Heathcote - Castlemaine - Kyneton,13.877907957669764,15765.247331182638
20202,Heathcote - Castlemaine - Kyneton,13.877907957669764,19215.725305662138
